year,income per head beef,milk price per liter in pence,annual-yield-per-cow,income per head dairy,price hay,price barley straw,price oat straw,price straw
2000,492.3,16.9,6449,1090.5,71,40,34,37
2001,575.5,19.8,6449,1273.7,71,40,34,37
2002,573.3,16.8,6450,1083.6,70,38,33,35.5
2003,604.6,18,6631,1195.6,59,26,20,23
2004,645.2,18.5,6886,1276,57,27,20,23.5
2005,676.4,18.7,7001,1308.5,62,46,32,39
2006,722.1,18.1,6963,1258.2,64,42,25,33.5
2007,745.4,20.5,6950,1424.8,66,45,27,36
2008,917.2,26.6,6974,1853,72,39,22,30.5
2009,1004.6,24.6,7056,1737.9,86,53,33,43
2010,998.1,24.6,7406,1818.2,101,63,43,53
2011,1112.2,26.8,7641,2044,105,60,52,56
2012,1241.3,27.9,7361,2052.2,90,59,51,55
2013,1400.8,31.3,7469.3,2334.9,102,66,42,54
2014,1328.9,31.5,7469.3,2349.9,89,58,33,45.5
2015,1335.7,24.1,7469.3,1803.1,73,44,25,34.5
2016,1289.9,22,7469.3,1645.5,70,45,26,35.5
